year,name,species,Plot, d30 , Height (m) , Height (cm) , Crown Dia (m) , Crown Dia (cm) , Crown Circum. (cm)  , LOG AGB AVI , Aboveground biomass (Kg) , Aboveground biomass (t/ha) , Belowground biomass (Kg) , Belowground biomass (t/ha) , Total biomass per ha (t/ha) , AGC (Kg) , BGC (Kg) , Total C (Kg) , Total C (t/ha) ," Btree l,j,p,i "
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.30 , 1.02 , 102.00 , 0.99 , 99 , 311 , 0.19 , 1.55 , 0.06 , 1.43 , 0.06 , 0.12 , 0.74 , 0.56 , 1.30 , 0.05 , 2.98 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.40 , 0.70 , 70.00 , 0.93 , 93 , 291 , 0.13 , 1.34 , 0.05 , 1.24 , 0.05 , 0.10 , 0.64 , 0.48 , 1.13 , 0.05 , 2.58 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.30 , 1.40 , 140.00 , 0.99 , 99 , 311 , 0.19 , 1.55 , 0.06 , 1.43 , 0.06 , 0.12 , 0.74 , 0.56 , 1.30 , 0.05 , 2.98 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.70 , 0.80 , 80.00 , 0.97 , 97 , 304 , 0.17 , 1.48 , 0.06 , 1.36 , 0.05 , 0.11 , 0.71 , 0.53 , 1.24 , 0.05 , 2.84 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.40 , 1.41 , 141.00 , 2.26 , 226 , 709 , 0.96 , 9.03 , 0.36 , 8.34 , 0.33 , 0.69 , 4.33 , 3.25 , 7.59 , 0.30 , 17.37 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.70 , 1.20 , 120.00 , 1.19 , 119 , 373 , 0.36 , 2.29 , 0.09 , 2.11 , 0.08 , 0.18 , 1.10 , 0.82 , 1.92 , 0.08 , 4.41 
